                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25576,                      1,                      1,                0.31964,             0.00023706,             0.00023706,             0.00023706
                      2,                0.02886,                      1,                      1,                0.31407,             0.00045155,             0.00045155,             0.00045155
                      3,                0.02514,                0.99875,                      1,                0.31842,             0.00064247,             0.00064247,             0.00064247
                      4,                0.02395,                0.99875,                      1,                0.31582,             0.00060797,             0.00060797,             0.00060797
                      5,                 0.0124,                0.99875,                      1,                0.31519,             0.00060797,             0.00060797,             0.00060797
                      6,                 0.0142,                0.99875,                      1,                0.31437,             0.00057263,             0.00057263,             0.00057263
                      7,                0.01083,                0.99377,                      1,                0.31917,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00485,                      1,                      1,                0.31365,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00894,                0.99751,                      1,                0.31622,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00502,                0.99875,                      1,                0.31427,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00819,                0.99875,                      1,                0.31431,             0.00039591,             0.00039591,             0.00039591
                     12,                 0.0055,                      1,                      1,                 0.3138,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00389,                      1,                      1,                0.31378,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00215,                      1,                      1,                 0.3135,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00152,                      1,                      1,                0.31332,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00195,                      1,                      1,                0.31383,              0.0002192,              0.0002192,              0.0002192
                     17,                  0.001,                      1,                      1,                0.31369,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00075,                      1,                      1,                0.31349,             0.00014851,             0.00014851,             0.00014851
                     19,                 0.0011,                      1,                      1,                0.31341,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00411,                      1,                      1,                0.31344,             7.7826e-05,             7.7826e-05,             7.7826e-05
