                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25498,                0.99875,                      1,                0.31923,             0.00023703,             0.00023703,             0.00023703
                      2,                0.02928,                0.99502,                      1,                0.31791,             0.00045151,             0.00045151,             0.00045151
                      3,                0.02271,                0.99502,                      1,                0.32005,             0.00064244,             0.00064244,             0.00064244
                      4,                0.01275,                      1,                      1,                0.31463,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01057,                      1,                      1,                0.31388,             0.00060797,             0.00060797,             0.00060797
                      6,                0.01773,                0.99253,                      1,                0.32094,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00788,                      1,                      1,                 0.3135,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00497,                      1,                      1,                0.31329,             0.00050194,             0.00050194,             0.00050194
                      9,                0.01036,                0.99875,                      1,                0.31501,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00983,                      1,                      1,                0.31379,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00631,                      1,                      1,                0.31362,             0.00039591,             0.00039591,             0.00039591
                     12,                 0.0031,                      1,                      1,                0.31335,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00325,                      1,                      1,                0.31344,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00214,                      1,                      1,                0.31334,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00237,                      1,                      1,                0.31331,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00171,                      1,                      1,                0.31329,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00248,                      1,                      1,                0.31349,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00431,                      1,                      1,                 0.3133,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00215,                      1,                      1,                0.31332,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00225,                      1,                      1,                0.31329,             7.7826e-05,             7.7826e-05,             7.7826e-05
