                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2633,                0.99502,                      1,                0.32491,             0.00023703,             0.00023703,             0.00023703
                      2,                0.03303,                0.99875,                      1,                0.31579,             0.00045152,             0.00045152,             0.00045152
                      3,                0.02192,                      1,                      1,                0.31411,             0.00064244,             0.00064244,             0.00064244
                      4,                 0.0238,                      1,                      1,                0.31368,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01171,                0.99875,                      1,                0.31496,             0.00060797,             0.00060797,             0.00060797
                      6,                0.01435,                      1,                      1,                0.31392,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00964,                      1,                      1,                0.31337,             0.00053728,             0.00053728,             0.00053728
                      8,                0.01274,                      1,                      1,                0.31489,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00586,                      1,                      1,                0.31342,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00419,                      1,                      1,                0.31335,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00547,                      1,                      1,                0.31371,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00602,                0.99751,                      1,                0.31496,             0.00036057,             0.00036057,             0.00036057
                     13,                 0.0046,                      1,                      1,                 0.3133,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00296,                      1,                      1,                0.31342,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00159,                      1,                      1,                0.31344,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00281,                      1,                      1,                0.31332,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00114,                      1,                      1,                0.31327,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00159,                      1,                      1,                0.31325,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00238,                      1,                      1,                0.31323,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00142,                      1,                      1,                0.31325,             7.7826e-05,             7.7826e-05,             7.7826e-05
