                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72988,                    0.7,                      1,                0.62784,             0.00019992,             0.00019992,             0.00019992
                      2,                0.41271,                      1,                      1,                0.44083,             0.00038683,             0.00038683,             0.00038683
                      3,                0.30613,                      1,                      1,                0.35732,             0.00055325,             0.00055325,             0.00055325
                      4,                0.25374,                      1,                      1,                0.33224,             0.00060797,             0.00060797,             0.00060797
                      5,                0.21747,                      1,                      1,                0.36034,             0.00060797,             0.00060797,             0.00060797
                      6,                0.19997,                      1,                      1,                0.35319,             0.00057263,             0.00057263,             0.00057263
                      7,                0.20354,                      1,                      1,                0.32472,             0.00053728,             0.00053728,             0.00053728
                      8,                0.16382,                      1,                      1,                0.32165,             0.00050194,             0.00050194,             0.00050194
                      9,                0.16677,                      1,                      1,                0.32347,              0.0004666,              0.0004666,              0.0004666
                     10,                0.13158,                      1,                      1,                0.34838,             0.00043126,             0.00043126,             0.00043126
                     11,                0.13188,                      1,                      1,                0.34369,             0.00039591,             0.00039591,             0.00039591
                     12,                0.11707,                      1,                      1,                0.37131,             0.00036057,             0.00036057,             0.00036057
                     13,                0.12599,                   0.95,                      1,                0.34338,             0.00032523,             0.00032523,             0.00032523
                     14,                0.13567,                      1,                      1,                0.33641,             0.00028988,             0.00028988,             0.00028988
                     15,                0.12672,                      1,                      1,                 0.3297,             0.00025454,             0.00025454,             0.00025454
                     16,                0.12602,                      1,                      1,                0.32942,              0.0002192,              0.0002192,              0.0002192
                     17,                0.08401,                      1,                      1,                0.32588,             0.00018385,             0.00018385,             0.00018385
                     18,                0.10325,                      1,                      1,                0.31967,             0.00014851,             0.00014851,             0.00014851
                     19,                0.13785,                      1,                      1,                0.31824,             0.00011317,             0.00011317,             0.00011317
                     20,                0.11636,                      1,                      1,                0.31912,             7.7826e-05,             7.7826e-05,             7.7826e-05
