                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26131,                0.99128,                      1,                0.32786,             0.00023704,             0.00023704,             0.00023704
                      2,                0.02768,                0.99875,                      1,                0.31753,             0.00045152,             0.00045152,             0.00045152
                      3,                0.01742,                      1,                      1,                0.31396,             0.00064245,             0.00064245,             0.00064245
                      4,                0.01997,                0.99875,                      1,                0.31907,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01873,                      1,                      1,                0.31418,             0.00060797,             0.00060797,             0.00060797
                      6,                0.00998,                      1,                      1,                0.31378,             0.00057263,             0.00057263,             0.00057263
                      7,                0.00963,                      1,                      1,                0.31334,             0.00053728,             0.00053728,             0.00053728
                      8,                0.00578,                      1,                      1,                0.31332,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00587,                      1,                      1,                0.31419,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00539,                      1,                      1,                0.31366,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00411,                      1,                      1,                0.31354,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00467,                      1,                      1,                0.31333,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00304,                      1,                      1,                0.31333,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00502,                      1,                      1,                0.31335,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00487,                      1,                      1,                0.31335,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00521,                      1,                      1,                0.31353,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00228,                      1,                      1,                0.31329,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00104,                      1,                      1,                 0.3133,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00176,                      1,                      1,                0.31331,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00146,                      1,                      1,                0.31334,             7.7826e-05,             7.7826e-05,             7.7826e-05
