                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26084,                0.99875,                      1,                0.31912,             0.00023703,             0.00023703,             0.00023703
                      2,                0.02424,                      1,                      1,                0.31453,             0.00045152,             0.00045152,             0.00045152
                      3,                0.02567,                0.99751,                      1,                0.31699,             0.00064244,             0.00064244,             0.00064244
                      4,                0.01959,                      1,                      1,                0.31452,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01562,                      1,                      1,                0.31354,             0.00060797,             0.00060797,             0.00060797
                      6,                0.00949,                0.99875,                      1,                 0.3145,             0.00057263,             0.00057263,             0.00057263
                      7,                0.01335,                0.99253,                      1,                0.32338,             0.00053728,             0.00053728,             0.00053728
                      8,                0.01423,                0.99875,                      1,                0.31492,             0.00050194,             0.00050194,             0.00050194
                      9,                0.00636,                      1,                      1,                0.31378,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00412,                0.99875,                      1,                0.31409,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00391,                      1,                      1,                 0.3137,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00498,                      1,                      1,                0.31388,             0.00036057,             0.00036057,             0.00036057
                     13,                 0.0032,                      1,                      1,                 0.3133,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00247,                      1,                      1,                0.31381,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00324,                0.99875,                      1,                0.31407,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00296,                      1,                      1,                0.31363,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00214,                0.99875,                      1,                0.31378,             0.00018385,             0.00018385,             0.00018385
                     18,                 0.0046,                0.99875,                      1,                0.31414,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00394,                0.99875,                      1,                0.31426,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00264,                0.99875,                      1,                0.31429,             7.7826e-05,             7.7826e-05,             7.7826e-05
